SMAD1_Domain2	CDH17_Domain2	32	-45
CDH13_Domain4	CDH17_Domain6	66	3
CDH13_Domain4	CDH17_Domain5	54	-1
CDH20_Domain3	CDH17_Domain5	73	-3
CDH20_Domain3	CDH17_Domain6	42	0
CDH20_Domain3	CDH17_Domain3	34	13
CDH20_Domain3	CDH17_Domain2	29	0
CDH23_Domain25	CDH17_Domain3	28	-42
CDH8_Domain5	CDH17_Domain5	44	0
CELSR1_Domain5	CDH17_Domain5	55	-1
CELSR1_Domain5	CDH17_Domain4	43	0
CELSR1_Domain5	CDH17_Domain3	37	9
CNTN1_Domain1	CDH17_Domain3	41	8
DCHS1_Domain19	CDH17_Domain4	29	0
DSG3_Domain4	CDH17_Domain3	43	14
DSG3_Domain4	CDH17_Domain1	37	13
DSG3_Domain4	CDH17_Domain4	29	1
FAT1_Domain1	CDH17_Domain5	35	-2
FAT1_Domain1	CDH17_Domain3	27	20
FAT1_Domain33	CDH17_Domain4	42	-13
FAT1_Domain33	CDH17_Domain1	34	4
FAT2_Domain26	CDH17_Domain4	64	-4
FAT2_Domain26	CDH17_Domain2	41	2
FAT2_Domain26	CDH17_Domain5	29	-2
FAT2_Domain26	CDH17_Domain1	26	0
AGER_Domain2	CDH17_Domain4	39	9
CDH13_Domain5	CDH17_Domain7	58	-1
CDH13_Domain5	CDH17_Domain2	27	-7
CDH20_Domain4	CDH17_Domain1	100	8
CDH20_Domain4	CDH17_Domain6	73	4
CDH20_Domain4	CDH17_Domain3	54	9
CDH20_Domain4	CDH17_Domain4	31	0
CDH23_Domain26	CDH17_Domain6	51	17
CDH23_Domain26	CDH17_Domain3	47	22
CDH9_Domain1	CDH17_Domain3	58	9
CDH9_Domain1	CDH17_Domain1	49	9
CELSR1_Domain6	CDH17_Domain3	42	7
CELSR1_Domain6	CDH17_Domain1	22	24
DCHS1_Domain20	CDH17_Domain6	40	2
FAT1_Domain2	CDH17_Domain7	36	38
FAT1_Domain2	CDH17_Domain6	27	0
FAT2_Domain27	CDH17_Domain1	48	5
FAT2_Domain27	CDH17_Domain3	47	6
FAT2_Domain27	CDH17_Domain6	45	1
FAT2_Domain27	CDH17_Domain5	33	-1
PCDH11X_Domain5	CDH17_Domain3	92	8
PCDH9_Domain1	CDH17_Domain1	45	20
PCDH9_Domain1	CDH17_Domain3	40	21
PCDHA13_Domain2	CDH17_Domain7	48	2
PCDHA13_Domain2	CDH17_Domain3	44	13
PCDHA13_Domain2	CDH17_Domain1	33	-12
PCDHA6_Domain4	CDH17_Domain1	64	8
PCDHA6_Domain4	CDH17_Domain3	53	9
PCDHB14_Domain2	CDH17_Domain1	72	8
PCDHB14_Domain2	CDH17_Domain3	44	9
PCDHB14_Domain2	CDH17_Domain4	41	-4
PCDHB14_Domain2	CDH17_Domain7	31	-2
PCDHB4_Domain4	CDH17_Domain1	75	3
PCDHB4_Domain4	CDH17_Domain6	66	-1
PCDHB4_Domain4	CDH17_Domain3	52	4
PCDHB4_Domain4	CDH17_Domain5	37	-12
PCDHB4_Domain4	CDH17_Domain2	32	-13
SMAD3_Domain2	CDH17_Domain2	20	0
CDH15_Domain1	CDH17_Domain6	108	-9
CDH15_Domain1	CDH17_Domain1	92	-5
CDH15_Domain1	CDH17_Domain3	32	20
CDH20_Domain5	CDH17_Domain5	42	-1
CDH20_Domain5	CDH17_Domain4	40	0
CDH9_Domain2	CDH17_Domain6	53	8
CDH9_Domain2	CDH17_Domain2	46	-6
CDH9_Domain2	CDH17_Domain4	31	0
CDH9_Domain2	CDH17_Domain7	23	0
CELSR1_Domain7	CDH17_Domain4	46	-2
CELSR1_Domain7	CDH17_Domain1	43	10
CELSR1_Domain7	CDH17_Domain5	40	-1
DCHS1_Domain21	CDH17_Domain6	75	5
DCHS1_Domain21	CDH17_Domain1	54	9
DCHS1_Domain21	CDH17_Domain7	22	-1
FAT1_Domain35	CDH17_Domain4	39	-25
FAT2_Domain28	CDH17_Domain6	46	3
PCDH11X_Domain6	CDH17_Domain1	87	6
PCDH11X_Domain6	CDH17_Domain3	67	7
PCDH11X_Domain6	CDH17_Domain4	46	-6
PCDH11X_Domain6	CDH17_Domain6	27	0
PCDH18_Domain1	CDH17_Domain1	43	13
PCDH18_Domain1	CDH17_Domain3	42	14
PCDH9_Domain2	CDH17_Domain3	58	14
PCDH9_Domain2	CDH17_Domain1	53	13
PCDH9_Domain2	CDH17_Domain7	36	3
PCDH9_Domain2	CDH17_Domain2	32	23
PCDHA13_Domain3	CDH17_Domain3	61	12
PCDHA13_Domain3	CDH17_Domain2	43	2
PCDHA6_Domain5	CDH17_Domain3	76	14
PCDHB1_Domain1	CDH17_Domain3	43	2
PCDHB1_Domain1	CDH17_Domain1	42	2
PCDHB1_Domain1	CDH17_Domain4	41	-10
PCDHB14_Domain3	CDH17_Domain3	53	5
PCDHB14_Domain3	CDH17_Domain6	51	0
PCDHB14_Domain3	CDH17_Domain1	44	4
PGR_Domain1	CDH17_Domain6	42	44
AKT1_Domain1	CDH17_Domain6	16	0
CDH15_Domain2	CDH17_Domain2	57	2
CDH15_Domain2	CDH17_Domain6	27	0
CDH22_Domain1	CDH17_Domain3	55	8
CDH22_Domain1	CDH17_Domain1	51	8
CDH22_Domain1	CDH17_Domain6	44	4
CDH3_Domain1	CDH17_Domain1	82	11
CDH3_Domain1	CDH17_Domain3	70	12
